rank,gender,name,count,frequency
510,m,Hans-Ulrich,19301,1:5009
511,m,Hans-Josef,19263,1:5019
512,f,Antonia,19197,1:5036
513,m,Boris,18906,1:5114
514,f,Wiebke,18886,1:5119
515,f,Inga,18873,1:5123
516,f,Rosmarie,18809,1:5140
517,f,Liesel,18731,1:5161
518,m,Mustafa,18718,1:5165
519,m,Juergen,18429,1:5246
520,f,Uschi,18312,1:5279
521,m,Heinz-Jürgen,18253,1:5297
522,f,Birgitt,18221,1:5306
523,f,Gunda,18216,1:5307
524,m,Hendrik,18207,1:5310
525,f,Margareta,18174,1:5320
526,m,Hermann-Josef,18096,1:5342
527,m,Helmuth,18080,1:5347
528,m,Enrico,18076,1:5348
529,f,Lidia,17941,1:5389
530,m,Hans-Günter,17787,1:5435
531,f,Viktoria,17739,1:5450
532,m,Hans-Hermann,17627,1:5485
533,m,Knut,17541,1:5512
534,m,Erik,17258,1:5602
535,m,Gernot,17253,1:5604
536,f,Jenny,17233,1:5610
537,f,Dörte,17213,1:5617
538,f,Marta,17171,1:5630
539,f,Natascha,17156,1:5635
540,f,Marian,16955,1:5702
541,m,Nico,16799,1:5755
542,m,Hans-Heinrich,16695,1:5791
543,m,Heino,16664,1:5802
544,f,Sigrun,16342,1:5916
545,m,Ottmar,16334,1:5919
546,f,Kristin,16319,1:5924
547,f,Peggy,16266,1:5944
548,u,Nicola,16253,1:5948
549,f,Janina,16245,1:5951
550,f,Denise,16237,1:5954
551,f,Grit,16154,1:5985
551,m,Vladimir,16154,1:5985
553,f,Wilhelmine,16136,1:5991
554,m,Arne,16073,1:6015
555,m,Hubertus,16048,1:6024
556,m,Otmar,15905,1:6078
557,m,Klemens,15838,1:6104
558,m,Eric,15837,1:6105
559,f,Traute,15578,1:6206
560,f,Svenja,15573,1:6208
561,m,John,15465,1:6251
562,m,Helge,15464,1:6252
563,f,Emilie,15452,1:6257
564,m,Hartwig,15420,1:6270
565,m,Willibald,15386,1:6283
566,f,Käte,15285,1:6325
567,f,Gitta,15263,1:6334
568,f,Evi,15205,1:6358
569,m,Roger,15101,1:6402
570,f,Elfi,14950,1:6467
571,f,Rosel,14894,1:6491
572,f,Anna-Maria,14800,1:6532
573,f,Gertraude,14786,1:6538
574,f,Mareike,14649,1:6600
575,f,Magda,14640,1:6604
576,f,Susan,14638,1:6605
577,m,Alwin,14636,1:6605
578,f,Giesela,14603,1:6620
579,f,Isabel,14601,1:6621
580,f,Hanni,14556,1:6642
581,f,Resi,14487,1:6673
582,f,Klaudia,14460,1:6686
583,f,Ottilie,14444,1:6693
584,m,Falk,14382,1:6722
585,m,Tino,14341,1:6741
586,f,Rebecca,14291,1:6765
587,m,Gunnar,14289,1:6766
588,f,Siegrid,14276,1:6772
589,f,Josefa,14195,1:6811
590,m,Joerg,14040,1:6886
591,m,Andrej,14028,1:6892
592,m,Hilmar,13946,1:6932
593,m,Gunther,13934,1:6938
594,f,Hilda,13830,1:6990
595,m,Julian,13748,1:7032
596,m,Kevin,13742,1:7035
597,f,Bernadette,13697,1:7058
598,f,Bianka,13616,1:7100
599,f,Svetlana,13516,1:7153
600,m,Ingolf,13487,1:7168
601,f,Henriette,13448,1:7189
602,m,Tom,13386,1:7222
603,m,Siegbert,13323,1:7256
604,f,Adele,13285,1:7277
605,m,Heinz-Peter,13273,1:7284
606,m,Thilo,13270,1:7285
607,m,Siegmund,13264,1:7289
608,f,Constanze,13243,1:7300
609,f,Sylke,13223,1:7311
610,f,Galina,13189,1:7330
611,f,Ria,13159,1:7347
612,f,Jeanette,13113,1:7373
613,f,Larissa,13047,1:7410
614,m,Valentin,13040,1:7414
615,f,Gundula,13027,1:7421
616,m,Ahmet,12972,1:7453
617,m,Giuseppe,12911,1:7488
618,m,Klaus-Jürgen,12897,1:7496
619,m,Karl-Josef,12869,1:7512
620,f,Isabella,12770,1:7571
621,f,Siglinde,12748,1:7584
622,f,Annelore,12732,1:7593
623,m,Konstantin,12653,1:7641
624,m,Ivan,12630,1:7655
625,f,Gretel,12577,1:7687
626,m,Julius,12537,1:7711
627,f,Carla,12494,1:7738
628,f,Karoline,12485,1:7744
629,f,Dorit,12467,1:7755
630,f,Anett,12425,1:7781
631,f,Lucie,12397,1:7798
632,f,Saskia,12326,1:7843
633,u,Robin,12176,1:7940
634,m,Rupert,12156,1:7953
635,f,Betty,12129,1:7971
636,f,Leni,12042,1:8028
637,m,Wladimir,12011,1:8049
638,m,Hasan,12008,1:8051
639,f,Beatrice,11981,1:8069
640,m,Hinrich,11920,1:8111
641,f,Hertha,11690,1:8270
